iter	Passed	Remaining
0	1	132
1	2	126
2	3	116
3	4	105
4	5	101
5	6	99
6	7	98
7	8	95
8	9	97
9	10	96
10	11	94
11	12	92
12	13	90
13	14	89
14	15	88
15	16	86
16	17	85
17	18	84
18	19	82
19	20	81
20	21	80
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	48
51	51	47
52	51	46
53	52	45
54	53	43
55	54	42
56	55	41
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	86	11
88	87	10
89	89	9
90	90	8
91	91	7
92	91	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
